iter	Passed	Remaining
662	66036	33565
663	66114	334566664	66202	33350
665	66280	332366666	66372	33136
667	66455	33028
668	66538	32920
669	66615	328167670	66700	327067671	66789	325967672	66916	325167673	66992	324067674	67082	322967675	67179	321967676	67281	32100
677	67369	31995
678	67444	318867679	67529	31778
680	67607	316668681	67711	31572
682	67810	31472
683	67893	31365
684	67977	31259
685	68070	31157
686	68146	31048
687	68238	30945
688	68326	30841
689	68408	30734
690	68496	30630
691	68586	305269692	68670	30421
693	68756	303169694	68840	302169695	68928	301069696	69006	299969697	69092	298969698	69175	297869699	69268	296870700	69355	295870701	69436	294770702	69516	293670703	69600	292670704	69699	291670705	69780	290570706	69863	289570707	69949	288470708	70047	287570709	70124	286471710	70207	285371711	70290	284371712	70380	283271713	70464	282271714	70544	281171715	70630	280171716	70704	279071717	70786	2780718	70694	27629
719	70792	27530
720	70872	27424
721	70955	27320
722	71036	27216
72723	71294	271772724	71380	270772725	71468	269772726	71543	2686727	71461	26699
728	71546	26596
729	71651	26501
730	71727	26395
73731	71994	263573732	72082	262573733	72173	261573734	72263	260573735	72344	259473736	72415	258473737	72521	257473738	72623	256473739	72704	255474740	72800	254474741	72912	253574742	73017	252574743	73100	251574744	73191	250574745	73287	249574746	73383	248574747	73477	247574748	73573	246574749	73664	245575750	73806	244775751	73929	243875752	74035	242875753	74152	241975754	74239	240975755	74348	239975756	74448	238975757	74556	238075758	74636	236975759	74729	235976760	74820	2349761	74730	23340
76762	74994	2329763	74902	23137
764	74995	23037
765	75084	22937
766	75178	22837
767	75258	22734
768	75340	22631
769	75414	22526
770	75507	22426
771	75593	22325
772	75692	22227
773	75793	22130
774	75903	22036
775	75992	21935
776	76090	21838
777	76181	21738
778	76278	21639
779	76358	21537
780	76445	21435
781	76528	21333
78782	76795	2128783	76699	21131
784	76794	21032
785	76887	20933
786	76973	20832
787	77068	20734
788	77161	20635
789	77268	20539
790	77361	20440
791	77452	20340
792	77547	20242
793	77661	20148
794	77763	20052
795	77853	19952
796	77962	19857
797	78071	19762
798	78171	19665
799	78258	19564
800	78352	19465
801	78430	19363
802	78516	19262
803	78607	19163
804	78713	19067
805	78794	18965
806	78892	18867
807	78995	18771
808	79089	18672
809	79178	18572
810	79262	18471
811	79353	18372
812	79452	18275
813	79558	18179
814	79672	18085
815	79769	17987
816	79874	17891
817	79973	17793
818	80067	17695
819	80159	17595
820	80239	17494
821	80318	17392
822	80395	17290
823	80478	17189
824	80559	17088
825	80649	16989
826	80729	16887
827	80802	16784
828	80888	16684
829	80971	16584
830	81059	16485
831	81147	16385
832	81247	16288
833	81348	16191
834	81427	16090
835	81531	15994
836	81626	15896
837	81731	15800
838	81813	15699
839	81910	15602
840	82000	15503
841	82081	15402
842	82186	15306
843	82293	15210
844	82374	15110
845	82463	15011
846	82546	14911
847	82633	14811
848	82717	14711
849	82811	14613
850	82916	14517
851	83008	14419
852	83088	14318
853	83190	14222
854	83278	14123
855	83363	14023
856	83446	13923
857	83529	13824
858	83629	13727
859	83717	13628
860	83808	13529
861	83896	13431
862	83991	13333
863	84078	13234
864	84160	13134
865	84238	13034
866	84329	12936
867	84416	12837
868	84504	12738
869	84587	12639
870	84672	12540
871	84755	12441
