timestamp,notebook,model,feature_set,imbalance,seed,n_folds,pr_auc_mean,pr_auc_std,roc_auc_mean,pr_auc_folds,roc_auc_folds
2026-06-13T12:51:08,nb06,LightGBM,raw21,scale_pos_weight,42,5,0.4305,0.0084,0.8278,"[0.434539, 0.414148, 0.43719, 0.435544, 0.431063]","[0.832249, 0.822988, 0.82839, 0.8298, 0.825753]"
2026-06-13T12:51:29,nb06,LightGBM,raw21,SMOTENC,42,5,0.4106,0.0045,0.8191,"[0.411367, 0.404731, 0.418583, 0.40885, 0.409517]","[0.823636, 0.816514, 0.819365, 0.819464, 0.81677]"
2026-06-13T12:51:44,nb06,XGBoost,raw21,none,42,5,0.4051,0.0051,0.8164,"[0.408874, 0.395647, 0.404833, 0.410002, 0.406057]","[0.82032, 0.813262, 0.816961, 0.817364, 0.814248]"
2026-06-13T12:51:58,nb06,XGBoost,raw21,scale_pos_weight,42,5,0.4021,0.0042,0.8104,"[0.401879, 0.394802, 0.407737, 0.402423, 0.40344]","[0.814501, 0.806197, 0.811209, 0.810515, 0.809524]"
2026-06-13T12:52:23,nb06,XGBoost,raw21,SMOTENC,42,5,0.3863,0.0033,0.8043,"[0.387975, 0.386308, 0.391411, 0.381816, 0.38423]","[0.808401, 0.803595, 0.803598, 0.80377, 0.802352]"
2026-06-13T12:53:02,nb06,MLP,raw21,none,42,5,0.4301,0.0092,0.8291,"[0.429814, 0.414146, 0.435314, 0.44178, 0.42933]","[0.831339, 0.824582, 0.828559, 0.833827, 0.827114]"
2026-06-13T12:55:15,nb06,MLP,raw21,SMOTENC,42,5,0.3951,0.0079,0.8067,"[0.403217, 0.383338, 0.40402, 0.38964, 0.395269]","[0.814689, 0.801395, 0.809034, 0.803166, 0.804995]"
2026-06-13T12:55:22,nb06,LogReg-EN,headline_pool,none,42,5,0.4208,0.0077,0.8255,"[0.419237, 0.406826, 0.429433, 0.425466, 0.422956]","[0.828174, 0.82068, 0.825929, 0.829717, 0.823149]"
2026-06-13T12:55:30,nb06,LogReg-EN,headline_pool,class_weight,42,5,0.4189,0.0075,0.8257,"[0.417453, 0.405497, 0.427479, 0.423552, 0.420719]","[0.828564, 0.820967, 0.826081, 0.82977, 0.823033]"
2026-06-13T12:58:59,nb06,LogReg-EN,headline_pool,SMOTENC,42,5,0.3834,0.004,0.8027,"[0.383166, 0.377511, 0.390161, 0.383083, 0.383278]","[0.805927, 0.799297, 0.804012, 0.80288, 0.801218]"
2026-06-13T12:59:01,nb06,LogReg-L2,headline_pool,none,42,5,0.4208,0.0077,0.8255,"[0.419231, 0.406824, 0.429449, 0.425476, 0.422958]","[0.828176, 0.820681, 0.825929, 0.829716, 0.823155]"
2026-06-13T12:59:03,nb06,LogReg-L2,headline_pool,class_weight,42,5,0.4189,0.0075,0.8257,"[0.417455, 0.405506, 0.427492, 0.423558, 0.420719]","[0.828566, 0.820969, 0.826079, 0.829768, 0.823033]"
2026-06-13T12:59:05,nb06,LogReg-L2,headline_pool,SMOTENC,42,5,0.3834,0.004,0.8027,"[0.383197, 0.377508, 0.390176, 0.383078, 0.383263]","[0.80594, 0.799266, 0.803992, 0.802862, 0.8012]"
2026-06-13T13:00:34,nb06,RandomForest,headline_pool,none,42,5,0.3937,0.0063,0.8057,"[0.400928, 0.383007, 0.395191, 0.398407, 0.391198]","[0.807857, 0.800809, 0.805251, 0.810085, 0.804333]"
2026-06-13T13:02:04,nb06,RandomForest,headline_pool,class_weight,42,5,0.3879,0.0044,0.8041,"[0.394398, 0.380773, 0.389989, 0.387223, 0.386962]","[0.80617, 0.799951, 0.804427, 0.807713, 0.802472]"
2026-06-13T13:05:03,nb06,RandomForest,headline_pool,SMOTENC,42,5,0.3259,0.0055,0.7924,"[0.329843, 0.324398, 0.333896, 0.323128, 0.318165]","[0.794628, 0.789778, 0.795626, 0.794348, 0.787851]"
2026-06-13T13:05:12,nb06,LightGBM,headline_pool,none,42,5,0.4303,0.0081,0.8285,"[0.432025, 0.414593, 0.436158, 0.436813, 0.4318]","[0.832503, 0.823502, 0.828974, 0.831647, 0.825872]"
2026-06-13T13:05:20,nb06,LightGBM,headline_pool,scale_pos_weight,42,5,0.4305,0.0084,0.8278,"[0.434539, 0.414148, 0.43719, 0.435544, 0.431063]","[0.832249, 0.822988, 0.82839, 0.8298, 0.825753]"
2026-06-13T13:05:35,nb06,LightGBM,headline_pool,SMOTENC,42,5,0.3609,0.0052,0.7939,"[0.365325, 0.363924, 0.366019, 0.356152, 0.353193]","[0.799112, 0.792976, 0.793956, 0.792858, 0.79054]"
